codebook_version,2.0
project_title,Sickle Cell Disease & Healthcare System Navigation – Qualitative Study
irb_protocol,University of Miami IRB – Approved
analyst,Ashima Singh MPH
last_updated,2025-07-01
total_interviews,16
analysis_software,NVivo 14

theme_id,theme_label,theme_description,sub_theme_id,sub_theme_label,sub_theme_description,example_paraphrased,frequency
T01,Insurance and Coverage Disruptions,Experiences related to loss of coverage gaps in insurance and the burden of navigating prior authorizations and denials,T01a,Loss of Coverage,"Periods of being uninsured or underinsured due to job loss, Medicaid redetermination, or aging off a parent's plan","Described losing Medicaid coverage unexpectedly after a redetermination and being unable to afford pain medication out of pocket for two months",High
T01,Insurance and Coverage Disruptions,,T01b,Prior Authorization Burden,"Time and energy required to obtain prior authorizations for established treatments including hydroxyurea and opioid pain management","Described spending hours each week on phone calls with insurance to obtain approval for a medication they had been taking for five years",High
T01,Insurance and Coverage Disruptions,,T01c,Coverage Denials and Appeals,"Experiences of outright denial of medically necessary care and the process of filing appeals","Had a hospitalization claim denied and spent three months appealing with documentation from their hematologist before it was approved",Medium
T02,Care Continuity and Provider Transitions,Impact of losing established providers and the emotional and clinical challenges of rebuilding therapeutic relationships,T02a,Loss of Established Hematologist,"Distress caused by loss of a known and trusted specialist due to provider turnover or insurance network changes","Described their long-term hematologist leaving the practice as one of the most destabilizing events in their care history",High
T02,Care Continuity and Provider Transitions,,T02b,Rebuilding Trust with New Providers,"Difficulty establishing care with a new provider who lacks knowledge of patient's history and treatment preferences","Expressed frustration at having to 're-prove' their pain management needs to a new provider who was skeptical of their reported pain levels",High
T02,Care Continuity and Provider Transitions,,T02c,Transition from Pediatric to Adult Care,"Challenges navigating the shift from pediatric to adult SCD care systems as young adults","Described feeling 'dropped' when transitioning out of the pediatric system with no clear handoff or introduction to adult care providers",Medium
T03,Emergency Department as Primary Care,Reliance on the emergency department as a default care setting when specialist access is unavailable,T03a,ED as Default for Pain Crises,"Patterns of presenting to the ED for pain crises due to lack of after-hours specialist access or infusion center availability","Described going to the ED at least once a month because their hematology clinic had no after-hours or weekend availability",High
T03,Emergency Department as Primary Care,,T03b,Negative ED Experiences,"Experiences of stigma, dismissal, or inadequate pain management in ED settings","Reported being told by an ED nurse that their pain rating seemed 'too high' and feeling their SCD was not taken seriously",High
T03,Emergency Department as Primary Care,,T03c,Preference for Avoiding ED,"Expressed desire to avoid ED but felt it was the only option available for acute crises","Described dreading ED visits due to long waits and stigma but feeling there was no alternative during severe pain crises",Medium
T04,Navigating Specialist Referrals,Barriers and delays in obtaining referrals to hematology and other specialty services,T04a,Referral Delays,"Extended wait times between primary care referral and specialist appointment","Waited four months for a new hematology appointment after insurance forced a provider change",High
T04,Navigating Specialist Referrals,,T04b,Network Limitations,"Insurance network restrictions preventing access to preferred or previously established specialists","Was told their preferred hematologist was out-of-network under the new insurance plan and would have to start over with an in-network provider",High
T04,Navigating Specialist Referrals,,T04c,Self-Advocacy in Obtaining Referrals,"Active strategies used to expedite or secure referrals","Described calling the insurance company daily and asking their primary care doctor to mark the referral as urgent to speed up the process",Medium
T05,Emotional Burden of System Navigation,Psychological and emotional toll of repeatedly engaging with a complex and often adversarial healthcare system,T05a,Frustration and Helplessness,"Feelings of powerlessness in the face of system barriers","Described feeling like 'fighting a war every month' just to get basic care approved",High
T05,Emotional Burden of System Navigation,,T05b,Exhaustion from Advocacy,"Fatigue associated with the sustained effort required to navigate the system","Expressed that the mental energy spent on insurance and referrals left them with less capacity to manage their actual disease",High
T05,Emotional Burden of System Navigation,,T05c,Impact on Mental Health,"Anxiety and depression associated with healthcare access uncertainty","Described increased anxiety around the time of annual insurance renewals due to fear of losing coverage or needing to change providers",Medium
T06,Self-Advocacy and Resilience Strategies,Active strategies used by participants to navigate barriers and maintain access to care,T06a,Documentation and Record-Keeping,"Maintaining personal health records and documentation to support care navigation","Kept a personal binder of all medical records, lab results, and prior authorization letters to bring to every appointment and insurance call",High
T06,Self-Advocacy and Resilience Strategies,,T06b,Social Support in Navigation,"Relying on family members or patient advocates to assist with system navigation","Described their mother handling most insurance calls because they did not have the emotional capacity to do so during pain crises",Medium
T06,Self-Advocacy and Resilience Strategies,,T06c,Peer Knowledge Sharing,"Learning system navigation strategies from other SCD patients in community groups","Learned about a hospital-based SCD care coordinator program from a Facebook support group",Medium
T07,Recommendations for System Improvement,Patient-generated suggestions for policy and practice changes to improve SCD care,T07a,Dedicated SCD Care Coordinators,"Desire for a single point of contact to manage care coordination across providers","Said a dedicated care coordinator who knew their full history would eliminate most of the stress they currently experienced",High
T07,Recommendations for System Improvement,,T07b,Streamlined Prior Authorization,"Calls for blanket prior authorization or exemption for established SCD treatments","Suggested that medications a patient has been on for more than one year should be automatically approved without annual reauthorization",High
T07,Recommendations for System Improvement,,T07c,Better Transitions of Care Protocols,"Recommendations for structured handoffs between pediatric and adult care and between providers","Recommended a formal transition program with at least two joint appointments between pediatric and adult providers before full transfer",Medium
